acousticness;danceability;duration_ms;energy;explicit;liveness;loudness;mode;popularity;tempo;valence;year
0.0423;0.774;224840;0.756;0;0.305;-4.995;1;78;144.032;0.931;2014
0.00617;0.545;267867;0.675;0;0.209;-6.474;1;77;124.97;0.162;2014
0.101;0.72;198053;0.741;0;0.289;-6.529;0;80;119.896;0.357;2014
0.499;0.757;235133;0.632;0;0.0723;-6.83;1;76;122.936;0.742;2014
0.0678;0.588;260173;0.521;0;0.123;-9.461;1;87;85.012;0.337;2015
0.00543;0.611;218107;0.797;0;0.26;-7.627;0;85;120.041;0.518;2015
0.0115;0.64;216320;0.74;1;0.167;-4.083;1;85;116.879;0.785;2015
0.205;0.392;293293;0.37;0;0.0821;-10.888;1;79;48.718;0.512;2015
0.0371;0.764;196520;0.705;0;0.0943;-5.279;0;82;101.003;0.672;2015
0.0671;0.585;242253;0.564;1;0.135;-7.063;0;84;113.003;0.137;2015
0.223;0.765;198293;0.356;1;0.0963;-5.556;0;78;96.991;0.189;2015
0.612;0.68;179867;0.729;1;0.224;-5.077;1;84;123.97;0.446;2015
0.107;0.525;194613;0.433;1;0.135;-10.598;1;78;160.108;0.276;2015
0.324;0.753;145078;0.679;1;0.423;-7.092;0;79;105.977;0.19;2015
0.47;0.843;208080;0.435;1;0.147;-8.442;1;76;120.058;0.19;2015
0.611;0.63;245172;0.5;1;0.114;-8.755;0;79;144.871;0.315;2015
0.0462;0.734;202333;0.637;0;0.0602;-5.677;0;83;169.977;0.648;2015
0.157;0.709;251860;0.362;1;0.109;-9.814;1;76;122.043;0.113;2015
0.00359;0.393;228360;0.858;0;0.102;-2.868;0;80;176.042;0.56;2015
0.051;0.766;165600;0.64;1;0.237;-8.899;1;77;100.044;0.67;2015
0.187;0.689;212947;0.564;1;0.0721;-6.226;1;76;185.023;0.123;2015
0.113;0.402;339067;0.526;1;0.105;-6.741;0;76;81.404;0.312;2015
0.194;0.598;238307;0.252;1;0.0992;-15.086;1;76;120.064;0.0352;2015
0.56;0.811;226073;0.266;0;0.0962;-12.478;1;76;130.044;0.211;2015
0.00801;0.856;269667;0.609;0;0.0344;-7.223;1;81;114.988;0.928;2015
0.12;0.576;179955;0.759;0;0.121;-8.165;1;76;99.969;0.501;2015
0.00835;0.645;214507;0.713;0;0.113;-5.355;1;80;74.989;0.566;2015
0.222;0.572;249040;0.631;1;0.135;-9.836;0;79;134.078;0.0713;2015
0.00256;0.618;196693;0.717;1;0.625;-5.738;1;76;190.05;0.603;2015
0.369;0.689;229526;0.481;0;0.0649;-7.503;1;81;80.025;0.283;2015
0.178;0.389;193547;0.665;0;0.116;-6.169;1;76;117.055;0.199;2015
0.0725;0.849;111020;0.648;1;0.0984;-6.188;1;76;106.075;0.196;2015
0.4;0.63;225053;0.53;0;0.177;-7.259;1;79;108.038;0.417;2015
0.00767;0.713;262693;0.526;1;0.124;-5.046;1;76;131.05;0.131;2015
0.113;0.705;213520;0.769;0;0.105;-5.526;0;78;107.949;0.583;2015
0.835;0.609;233720;0.378;0;0.28;-9.828;1;81;100.418;0.515;2015
0.875;0.582;188238;0.272;0;0.13;-5.662;1;78;205.846;0.354;2015
